text,label
"UNION SELECT usErnaMe, pasSwORD FROM usErs --",1
order by date desc,0
order by date desc,0
' ; DROP TABLE users; #,1
product search: laptop bag,0
select * from employees where id = 5,0
1; WAITFOR DELAY '0:0:5' --,1
1; WAITFOR DELAY '0:0:5' --,1
price between 100 and 200,0
email=jane.doe@example.com&reset=true,0
normal text without sql,0
' OR '1'='1,1
department='economy' and region='apac',0
department='economy' and region='apac',0
'/**/OR/**/1=1--,1
select * from employees where id = 5,0
"' /**/ UNION /**/ SELECT /**/ null,null /**/ --",1
""" OR """" = """,1
update profile set city='Hyderabad' where user_id=10,0
email=jane.doe@example.com&reset=true,0
order by date desc,0
INSERT INTO logs(message) VALUES('user signed in'),0
1; WAITFOR DELAY '0:0:5' --,1
order by date desc,0
price between 100 and 200,0
admiN' --,1
""" OR """" = """,1
department='economy' and region='apac',0
update profile set city='Hyderabad' where user_id=10,0
INSERT INTO logs(message) VALUES('user signed in'),0
1 /**/ AND /**/ SLEEP(5)--,1
admin'  --,1
' OR '1'='1,1
admin' /**/ --,1
product search: laptop bag,0
"-1' UNION ALL SELECT 1,2--",1
email=jane.doe@example.com&reset=true,0
email=jane.doe@example.com&reset=true,0
aDmIn' /**/ ;--,1
hello world,0
hello world,0
hello world,0
"-1' UNION ALL SELECT 1,2;--",1
hello world,0
""" OR """" = """,1
hello world,0
department='economy' and region='apac',0
select * from employees where id = 5,0
' ; DROP TABLE USers; --,1
INSERT INTO logs(message) VALUES('user signed in'),0
AdmIN' /**/ ;--,1
"'  UNION  SELECT  nULl,nUll  --",1
"UNION /**/ SELECT /**/ useRname, /**/ PasSwoRD /**/ FROM /**/ uSers /**/ --",1
hello world,0
"-1' UNION ALL SELECT 1,2--",1
'/**/OR/**/1=1--,1
order by date desc,0
INSERT INTO logs(message) VALUES('user signed in'),0
"'  UNION  SELECT  null,null  --",1
' OR 1=1 --,1
price between 100 and 200,0
select * from employees where id = 5,0
hello world,0
') OR ('1'='1,1
update profile set city='Hyderabad' where user_id=10,0
' /**/ OR /**/ '1'='1,1
"UNION SELECT username, password FROM users --",1
'  ;  DROP  TABLE  users;  --,1
INSERT INTO logs(message) VALUES('user signed in'),0
price between 100 and 200,0
admin' ;--,1
INSERT INTO logs(message) VALUES('user signed in'),0
1; WAITFOR DELAY '0:0:5' --,1
INSERT INTO logs(message) VALUES('user signed in'),0
' OR '1'='1,1
email=jane.doe@example.com&reset=true,0
1 AND SLEEP(5)--,1
"' /**/ UNION /**/ SELECT /**/ null,null /**/ --",1
normal text without sql,0
price between 100 and 200,0
ADmin' --,1
department='economy' and region='apac',0
') OR ('1'='1,1
') OR ('1'='1,1
"-1' UNION ALL SELECT 1,2--",1
order by date desc,0
normal text without sql,0
' OR '1'='1,1
1; WAITFOR DELAY '0:0:5' ;--,1
normal text without sql,0
normal text without sql,0
price between 100 and 200,0
update profile set city='Hyderabad' where user_id=10,0
update profile set city='Hyderabad' where user_id=10,0
select * from employees where id = 5,0
email=jane.doe@example.com&reset=true,0
email=jane.doe@example.com&reset=true,0
""" OR """" = """,1
"' UNION SELECT null,null --",1
update profile set city='Hyderabad' where user_id=10,0
' /**/ OR /**/ 1=1 /**/ --,1
select * from employees where id = 5,0
price between 100 and 200,0
update profile set city='Hyderabad' where user_id=10,0
1 AND SLEEP(5)--,1
' OR '1'='1,1
"'  UNION  SELECT  null,null  --",1
order by date desc,0
hello world,0
' /**/ ; /**/ DROP /**/ TABLE /**/ uSers; /**/ #,1
1 AND SLEEP(5)--,1
price between 100 and 200,0
email=jane.doe@example.com&reset=true,0
price between 100 and 200,0
price between 100 and 200,0
"' UNION SELECT nUll,NUlL --",1
price between 100 and 200,0
product search: laptop bag,0
"UNION  SELECT  username,  password  FROM  users  #",1
